,node1,node2,label
638,593|,594|593,834
639,580|,570|580,1830
640,580|,581|580,1000
641,580|,590|580,2361
642,580|,589|580,813
643,579|,570|579,2360
644,579|,589|579,3380
645,579|,569|579,1840
646,579|,578|579,2043
647,591|,592|591,1310
648,591|,601|591,2488
649,591|,581|591,65
650,591|,590|591,3541
651,555|,565|555,673
652,555|,556|555,78
653,555|,554|555,1167
654,555|,545|555,1161
655,592|,582|592,664
656,592|,591|592,1309
657,592|,602|592,3879
658,592|,593|592,828
659,612|,602|612,662
660,612|,622|612,2490
661,612|,611|612,659
662,612|,613|612,2942
663,585|,575|585,678
664,585|,584|585,2948
665,585|,595|585,846
666,585|,586|585,680
667,601|,602|601,827
668,601|,611|601,661
669,601|,591|601,2489
670,601|,600|601,825
671,603|,593|603,1282
672,603|,602|603,3831
673,603|,604|603,3860
674,603|,613|603,2941
675,622|,621|622,2491
676,622|,612|622,823
677,622|,632|622,3562
678,622|,623|622,2492
679,611|,621|611,656
680,611|,612|611,658
681,611|,610|611,2049
682,611|,601|611,660
683,602|,592|602,663
684,602|,612|602,2048
685,602|,603|602,2940
686,602|,601|602,824
687,600|,590|600,1853
688,600|,601|600,1308
689,600|,610|600,1852
690,600|,609|600,826
691,599|,590|599,1302
692,599|,609|599,815
693,599|,598|599,1850
694,599|,589|599,3592
695,613|,603|613,2943
696,613|,612|613,2939
697,613|,623|613,3893
698,613|,614|613,3861
699,588|,578|588,2356
700,588|,598|588,1848
701,588|,587|588,3542
702,588|,589|588,2357
703,614|,604|614,2713
704,614|,613|614,3377
705,614|,624|614,3570
706,614|,615|614,1293
707,590|,591|590,1854
708,590|,599|590,1303
709,590|,600|590,2047
710,590|,580|590,3936
711,610|,619|,2050
712,610|,611|610,655
713,610|,620|610,1304
714,610|,600|610,1307
715,594|,593|594,3376
716,594|,584|594,2717
717,594|,595|594,835
718,594|,604|594,1311
719,632|,622|632,3892
720,632|,631|632,2216
721,632|,633|632,3556
722,632|,642|632,3833
723,598|,599|598,1849
724,598|,588|598,3540
725,598|,597|598,862
726,598|,608|598,860
727,609|,600|609,1851
728,609|,608|609,1300
729,609|,619|609,816
730,609|,599|609,1301
731,621|,620|,1306
732,621|,622|621,822
733,621|,631|621,820
734,621|,611|621,657
735,586|,596|586,1717
736,586|,576|586,82
737,586|,587|586,1846
738,586|,585|586,677
739,624|,623|624,2937
740,624|,614|624,3569
741,624|,634|624,3571
742,624|,625|624,2936
743,604|,603|604,3863
744,604|,594|604,2716
745,604|,605|604,1312
746,604|,614|604,2715
747,546|,556|546,75
748,546|,547|546,689
749,546|,545|546,2561
750,546|,536|546,685
751,566|,565|566,942
752,566|,576|566,80
753,566|,556|566,683
754,566|,567|566,84
755,575|,565|575,671
756,575|,574|575,2718
757,575|,576|575,873
758,575|,585|575,679
759,536|,535|536,1162
760,536|,546|536,688
761,536|,537|536,2562
762,536|,526|536,686
763,535|,525|535,1154
764,535|,534|535,1163
765,535|,536|535,2826
766,535|,545|535,1152
767,587|,577|587,864
768,587|,586|587,2040
769,587|,597|587,3011
770,587|,588|587,1847
771,556|,566|556,79
772,556|,555|556,77
773,556|,546|556,76
774,556|,557|556,2827
775,596|,586|,845
776,596|,595|596,1718
777,596|,606|596,837
778,596|,597|596,849
779,576|,566|,83
780,576|,577|576,681
781,576|,586|576,81
782,576|,575|576,872
783,617|,607|617,843
784,617|,618|617,855
785,617|,627|617,852
786,617|,616|617,854
787,597|,596|597,3012
788,597|,598|597,859
789,597|,587|597,863
790,597|,607|597,850
791,595|,585|595,3590
792,595|,605|595,847
793,595|,594|595,3966
794,595|,596|595,836
795,762|,752|762,2621
796,762|,761|762,86
797,762|,772|762,88
798,762|,763|762,2632
799,750|,760|750,3390
800,750|,751|750,1912
801,750|,759|750,3009
802,750|,740|750,1471
803,761|,762|761,87
804,761|,771|761,3677
805,761|,751|761,2626
806,761|,760|761,2333
807,763|,753|763,1358
808,763|,762|763,2625
809,763|,773|763,91
810,763|,764|763,1357
811,730|,740|730,1344
812,730|,739|730,2457
813,730|,720|730,1474
814,730|,731|730,1346
815,772|,762|772,2620
816,772|,773|772,89
817,772|,782|772,1366
818,772|,771|772,2337
819,783|,784|783,2633
820,783|,782|783,97
821,783|,793|783,2341
822,783|,773|783,2390
823,781|,782|781,99
824,781|,791|781,3873
825,781|,780|781,3874
826,781|,771|781,2631
827,774|,773|774,1364
828,774|,775|774,109
829,774|,784|774,95
830,774|,764|774,93
831,792|,782|792,2630
832,792|,802|792,2385
833,792|,791|792,1367
834,792|,793|792,101
835,770|,771|770,2335
836,770|,780|770,2345
837,770|,779|770,3875
838,770|,760|770,1910
839,769|,768|,3964
840,769|,760|769,3392
841,769|,759|769,1468
842,769|,779|769,3235
843,752|,742|752,1484
844,752|,762|752,2332
845,752|,751|752,1482
846,752|,753|752,2624
847,741|,751|741,2627
848,741|,742|741,1350
849,741|,731|741,2994
850,741|,740|741,1348
851,732|,733|732,2330
852,732|,722|732,1914
853,732|,731|732,1488
854,732|,742|732,2460
855,731|,741|731,1347
856,731|,732|731,2459
857,731|,730|731,1480
858,731|,721|731,3052
859,771|,772|771,2336
860,771|,761|771,3678
861,771|,770|771,2395
862,771|,781|771,2338
863,782|,772|782,2339
864,782|,783|782,2340
865,782|,781|782,98
866,782|,792|782,100
867,760|,761|760,3724
868,760|,770|760,2334
869,760|,750|760,1911
870,760|,769|760,3391
871,742|,752|742,1481
872,742|,743|742,1351
873,742|,741|742,2623
874,742|,732|742,1913
875,753|,752|753,2393
876,753|,743|753,1359
877,753|,763|753,1360
878,753|,754|753,1353
879,755|,754|755,3723
880,755|,765|755,2453
881,755|,756|755,1454
882,755|,745|755,2455
883,751|,752|751,1483
884,751|,761|751,2394
885,751|,750|751,3008
886,751|,741|751,2622
887,775|,765|775,1356
888,775|,774|775,1363
889,775|,785|775,3395
890,775|,776|775,110
891,773|,763|773,90
892,773|,783|773,2389
893,773|,772|773,1365
894,773|,774|773,92
895,744|,743|744,2467
896,744|,754|744,2466
897,744|,734|744,1448
898,744|,745|744,1451
899,791|,781|791,3953
900,791|,792|791,2384
901,791|,801|791,1369
902,791|,790|791,1368
903,740|,750|740,1470
904,740|,749|740,1472
905,740|,741|740,1349
906,740|,730|740,1345
907,768|,767|,3188
908,768|,769|768,3234
909,768|,778|768,3182
910,768|,758|768,3491
911,780|,770|780,1909
912,780|,781|780,2629
913,780|,790|780,2346
914,780|,789|780,2988
915,802|,792|802,2349
916,802|,812|802,1371
917,802|,801|802,2343
918,802|,803|802,2386
919,779|,770|779,2864
920,779|,789|779,2989
921,779|,769|779,3965
922,779|,778|779,3935
923,764|,763|764,116
924,764|,754|764,1355
925,764|,765|764,1361
926,764|,774|764,94
927,722|,732|722,2329
928,722|,712|722,3230
929,722|,721|722,1915
930,722|,723|722,2461
931,733|,743|733,2331
932,733|,732|733,1487
933,733|,734|733,1444
934,733|,723|733,2464
935,739|,730|739,1343
936,739|,738|739,2995
937,739|,749|739,2458
938,739|,729|739,1337
939,720|,730|720,1475
940,720|,729|720,1924
941,720|,710|720,1476
942,720|,721|720,2013
943,795|,794|795,106
944,795|,785|795,2387
945,795|,805|795,1889
946,795|,796|795,119
947,794|,784|794,107
948,794|,793|794,3394
949,794|,795|794,105
950,794|,804|794,459
951,754|,764|754,1354
952,754|,744|754,2454
953,754|,755|754,2391
954,754|,753|754,2628
955,743|,753|743,1352
956,743|,744|743,2465
957,743|,742|743,1485
958,743|,733|743,1486
959,765|,764|765,115
960,765|,766|765,1456
961,765|,775|765,1362
962,765|,755|765,2983
963,784|,783|784,96
964,784|,774|784,108
965,784|,794|784,2982
966,784|,785|784,117
967,766|,765|766,114
968,766|,767|766,3511
969,766|,756|766,1458
970,766|,776|766,1457
971,777|,776|777,112
972,777|,767|777,3186
973,777|,787|777,3493
974,777|,778|777,2984
975,723|,724|723,500
976,723|,713|723,1435
977,723|,722|723,2462
978,723|,733|723,2463
979,756|,766|756,1455
980,756|,757|756,1459
981,756|,755|756,1453
982,756|,746|756,2392
983,785|,784|785,2388
984,785|,775|785,3398
985,785|,795|785,118
986,785|,786|785,3396
987,787|,786|787,3494
988,787|,788|787,3505
989,787|,797|787,3508
990,787|,777|787,3185
991,805|,795|805,1888
992,805|,815|805,3728
993,805|,804|805,458
994,805|,806|805,3502
995,803|,802|803,2342
996,803|,804|803,103
997,803|,793|803,2980
998,803|,813|803,461
999,786|,785|786,3397
1000,786|,776|786,3722
1001,786|,796|786,3720
1002,786|,787|786,3510
1003,811|,812|811,2858
1004,811|,801|811,2383
1005,811|,821|811,2972
1006,811|,810|811,466
1007,793|,792|793,3719
1008,793|,783|793,2981
1009,793|,803|793,102
1010,793|,794|793,3704
1011,812|,802|812,2859
1012,812|,813|812,2851
1013,812|,822|812,1372
1014,812|,811|812,465
1015,789|,779|789,2863
1016,789|,799|789,2861
1017,789|,780|789,2381
1018,789|,788|789,2987
1019,801|,802|801,1370
1020,801|,791|801,2344
1021,801|,811|801,2382
1022,801|,800|801,2860
1023,790|,800|790,2347
1024,790|,791|790,471
1025,790|,799|790,2862
1026,790|,780|790,1908
1027,804|,803|804,460
1028,804|,814|804,3727
1029,804|,794|804,104
1030,804|,805|804,457
1031,813|,803|813,2852
1032,813|,812|813,3694
1033,813|,814|813,448
1034,813|,823|813,462
1035,822|,821|822,2975
1036,822|,812|822,464
1037,822|,823|822,1373
1038,822|,832|822,1376
1039,800|,801|800,2990
1040,800|,790|800,2348
1041,800|,810|800,2991
1042,800|,809|800,468
1043,824|,823|824,1375
1044,824|,814|824,450
1045,824|,834|824,1379
1046,824|,825|824,1381
1047,831|,821|831,2856
1048,831|,841|831,3237
1049,831|,830|831,2976
1050,831|,832|831,2973
1051,799|,809|799,2865
1052,799|,798|799,3931
1053,799|,789|799,2380
1054,799|,790|799,470
1055,788|,789|788,2986
1056,788|,787|788,3184
1057,788|,798|788,3690
1058,788|,778|788,3506
1059,814|,804|814,456
1060,814|,813|814,453
1061,814|,815|814,451
1062,814|,824|814,449
1063,806|,805|806,2993
1064,806|,796|806,3725
1065,806|,816|806,121
1066,806|,807|806,2955
1067,827|,826|827,3629
1068,827|,817|827,2951
1069,827|,828|827,126
1070,827|,837|827,1685
1071,816|,815|816,455
1072,816|,817|816,3628
1073,816|,826|816,122
1074,816|,806|816,2873
1075,807|,806|807,2954
1076,807|,797|807,3499
1077,807|,808|807,2956
1078,807|,817|807,3498
1079,796|,786|,3721
1080,796|,797|796,3496
1081,796|,795|796,3495
1082,796|,806|796,120
1083,825|,826|825,124
1084,825|,835|825,3238
1085,825|,824|825,1382
1086,825|,815|825,3730
1087,745|,755|745,2452
1088,745|,744|745,1450
1089,745|,746|745,1327
1090,745|,735|745,1449
1091,758|,768|758,3181
1092,758|,759|758,1463
1093,758|,757|758,1330
1094,758|,748|758,1331
1095,776|,775|776,3933
1096,776|,777|776,111
1097,776|,766|776,113
1098,776|,786|776,3509
1099,734|,744|734,1447
1100,734|,724|734,3233
1101,734|,735|734,1445
1102,734|,733|734,1443
1103,817|,807|817,2953
1104,817|,827|817,2952
1105,817|,818|817,2992
1106,817|,816|817,2872
1107,746|,756|746,1452
1108,746|,736|746,494
1109,746|,747|746,493
1110,746|,745|746,1326
1111,748|,758|748,1462
1112,748|,747|748,1332
1113,748|,738|748,1334
1114,748|,749|748,3980
1115,797|,796|797,3726
1116,797|,798|797,3500
1117,797|,807|797,3497
1118,797|,787|797,3504
1119,798|,788|798,3932
1120,798|,797|798,3503
1121,798|,808|798,3399
1122,798|,799|798,2379
1123,767|,766|,3189
1124,767|,757|767,1461
1125,767|,768|767,3187
1126,767|,777|767,3492
1127,778|,768|778,3490
1128,778|,788|778,2985
1129,778|,779|778,3183
1130,778|,777|778,3507
1131,738|,748|738,1335
1132,738|,728|738,3231
1133,738|,737|738,1951
1134,738|,739|738,1336
1135,747|,757|747,1328
1136,747|,746|747,492
1137,747|,737|747,1954
1138,747|,748|747,1333
1139,757|,767|757,1460
1140,757|,747|757,3512
1141,757|,756|757,3393
1142,757|,758|757,1329
1143,815|,805|815,1887
1144,815|,814|815,452
1145,815|,825|815,3729
1146,815|,816|815,454
1147,808|,807|,3501
1148,808|,809|,3934
1149,808|,798|808,2378
1150,808|,818|808,2870
1151,826|,816|826,3627
1152,826|,825|826,123
1153,826|,827|826,125
1154,826|,836|826,330
1155,838|,837|838,1687
1156,838|,848|838,128
1157,838|,828|838,1683
1158,838|,839|838,1681
1159,818|,817|818,2871
1160,818|,828|818,2957
1161,818|,819|818,2868
1162,818|,808|818,2869
1163,820|,829|820,2968
1164,820|,810|820,2970
1165,820|,821|820,2854
1166,820|,830|820,2964
1167,834|,824|834,1380
1168,834|,835|834,3239
1169,834|,844|834,333
1170,834|,833|834,445
1171,836|,835|836,331
1172,836|,837|836,2950
1173,836|,826|836,2371
1174,836|,846|836,1697
1175,856|,855|856,2962
1176,856|,857|856,132
1177,856|,846|856,2949
1178,856|,866|856,399
1179,847|,846|847,130
1180,847|,848|847,1679
1181,847|,857|847,1689
1182,847|,837|847,1694
1183,830|,839|830,2965
1184,830|,840|830,3797
1185,830|,831|830,3236
1186,830|,820|830,2967
1187,845|,835|845,395
